                                                                    Registrar IDs

   Last Updated
           2015-06-19

   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Registry included below

     * Registrar IDs

Registrar IDs

   Registration Procedure(s)

 Assigned by ICANN

   Reference
           [Not defined by an RFC]

   Available Formats
           [IMG]
           CSV

     ID                                          Registrar Name                                          Status
     230   Centergate Research Group, LLC                                                              Terminated
     232   Datasource Network Australia Limited                                                        Terminated
     239   7DC, Inc.                                                                                   Terminated
     240   PlanetDomain Pty Ltd                                                                        Accredited
     241   Ranger Registration (Madeira) LLC                                                           Accredited
     242   iRegisterDomainsHere.Com, Inc.                                                              Terminated
     243   INTERNEXT                                                                                   Accredited
     244   Gabia, Inc.                                                                                 Accredited
     245   123 Registration, Inc.                                                                      Terminated
     246   nondotcom, Inc.                                                                             Terminated
     247   Active 24 AS                                                                                Terminated
     249   Visesh Infotecnics Ltd. d/b/a Signdomains.com                                               Accredited
     250   Echo, Inc.                                                                                  Terminated
     255   Hi-Tech Information and Marketing Pvt. Ltd.                                                 Terminated
     256   New Era Information Systems Incorporation d/b/a WebYourCompany.com                          Terminated
     257   GlobalHosting, Inc. d/b/a SiteRegister                                                      Terminated
     258   Marksonline, Inc.                                                                           Terminated
     268   pAsia, Inc.                                                                                 Terminated
     269   Key-Systems GmbH                                                                            Accredited
     270   Address Creation, LLC                                                                       Accredited
     274   American Domain Name Registry                                                               Terminated
     275   Alice's Registry, Inc.                                                                      Accredited
     276   Globedom Datenkommunikations GmbH, d/b/a Globedom                                           Terminated
     277   Interlink Co., Ltd.                                                                         Accredited
     278   4Domains, Inc.                                                                              Terminated
     279   NameRepublic.com                                                                            Terminated
     280   Affinity Internet, Inc.                                                                     Accredited
     281   Research Institute of Computer Science, Inc.                                                Terminated
     282   Central Registrar, Inc. d/b/a DomainMonger.Com                                              Accredited
     291   DNC Holdings, Inc.                                                                          Accredited
     292   MarkMonitor Inc.                                                                            Accredited
     293   Yellowiz Corp. d/b/a Yellowname.com                                                         Terminated
     295   British Telecommunications (BT plc)                                                         Terminated
     298   Netblue Communications Co., Ltd.                                                            Terminated
     299   CSC Corporate Domains, Inc.                                                                 Accredited
     300   Wooho Technology CO., Ltd d/b/a RGNames.com                                                 Terminated
     301   000domains, LLC                                                                             Accredited
     303   PDR Ltd. d/b/a PublicDomainRegistry.com                                                     Accredited
     304   freenet Cityline GmbH d/b/a freenet Datenkommunikations GmbH                                Terminated
     305   Unassigned                                                                                  Accredited
     306   Unassigned                                                                                  Accredited
     317   Philippine Registry.com, Inc.                                                               Terminated
     320   TLDs LLC dba SRSplus                                                                        Accredited
     321   Registration Technologies, Inc.                                                             Accredited
     345   VeriSign Global Registry Services                                                           Accredited
     347   NameTree, Inc.                                                                              Terminated
     353   Bombora Technologies Pty Ltd                                                                Accredited
     360   Abu-Ghazaleh Intellectual Property dba TAGIdomains.com                                      Accredited
     363   Funpeas Media Ventures, LLC dba DomainProcessor.com                                         Accredited
     364   Triara.com S.A. de C.V.                                                                     Terminated
     365   Educause                                                                                    Accredited
     376   RESERVED-Internet Assigned Numbers Authority                                                Accredited
     377   Venture.com, Inc. d/b/a DomainCity.com                                                      Terminated
     378   2030138 Ontario Inc. dba NamesBeyond.com and dba GoodLuckDomain.com                         Accredited
     379   Arsys Internet, S.L. dba NICLINE.COM                                                        Accredited
     380   Tuonome.it.srl d/b/a APIsrs.com                                                             Accredited
     381   DomReg Ltd. d/b/a LIBRIS.COM                                                                Accredited
     400   @Com Technology LLC                                                                         Terminated
     401   Misk.com, Inc.                                                                              Accredited
     402   Adgrafix Corporation                                                                        Terminated
     403   AZC, Inc. d/b/a AZC.com                                                                     Terminated
     404   C I Host, Inc.                                                                              Accredited
     405   CADVision Development Corp d/b/a GetDomain.com                                              Accredited
     406   CommuniTech.Net, Inc.                                                                       Accredited
     407   Concentric Network Corporation                                                              Terminated
     408   Cydian Technologies, LLC                                                                    Terminated
