                                                  Language Subtag Registry - Registration Templates

   Last Updated
           2018-11-30

   Registration Procedure(s)

 IESG-Appointed Language Subtag Reviewer

   Reference
           [RFC5646]

   Note

 [RFC5646] defines an IANA-maintained registry of language subtags, which
 is available at [IANA registry language-subtag-registry]. The
 following is the archive of language subtag registration templates.


   Available Formats
           [IMG]
           XML [IMG]
           HTML [IMG]
           Plain text

   Available Formats
           [IMG]
           CSV

       Type           Subtag              Template            Date
   language      djl               djl.txt                 2013-09-23
   language      dkl               dkl.txt                 2011-08-24
   language      dlk               dlk.txt                 2013-09-23
   language      dmb               dmb.txt                 2011-08-24
   language      dmc               dmc.txt                 2013-09-23
   language      dmd               dmd.txt                 2012-08-27
   language      dmo               dmo.txt                 2012-08-27
   language      dmw               dmw.txt                 2013-09-23
   language      dnj               dnj.txt                 2013-09-23
   language      dno               dno.txt                 2018-10-31
   language      dnv               dnv.txt                 2012-08-27
   language      dra               dra.txt                 2009-04-07
   language      drc               drc.txt                 2011-08-24
   language      drh               drh.txt                 2010-03-24
   language      dri               dri.txt                 2016-06-30
   language      drl               drl.txt                 2012-08-27
   language      drw               drw.txt                 2010-03-24
   language      dsb               dsb.txt                 2007-11-06
   language      dtd               dtd.txt                 2011-08-24
   language      dth               dth.txt                 2012-08-27
   language      dtn               dtn.txt                 2016-06-10
   language      dto               dto.txt                 2012-08-27
   language      dtp               dtp.txt                 2016-06-10
   language      dty               dty.txt                 2012-08-27
   language      duf               duf.txt                 2013-09-23
   language      duj               duj.txt                 2016-06-10
   language      duk               duk.txt                 2011-08-24
   language      duz               duz.txt                 2016-06-10
   language      dwl               dwl.txt                 2012-08-27
   language      dwu               dwu.txt                 2016-06-10
   language      dwy               dwy.txt                 2016-06-10
   language      dwz               dwz.txt                 2018-10-31
   language      dzd               dzd.txt                 2015-02-18
   language      dze               dze.txt                 2013-09-23
   language      eaa               eaa.txt                 2013-09-23
   language      ebk               ebk.txt                 2010-03-24
   language      elp               elp.txt                 2012-08-27
   language      ekc               ekc.txt                 2013-09-23
   language      ekl               ekl.txt                 2012-09-04
   language      emo               emo.txt                 2014-03-13
   language      emx               emx.txt                 2010-03-24
   language      enl               enl.txt                 2014-03-13
   language      enx               enx.txt                 2014-03-13
   language      esg               esg.txt                 2016-06-10
   language      esy               esy.txt                 2014-04-10
   language      eza               eza.txt                 2013-09-23
   language      fab               fab.txt                 2013-09-23
   language      fap               fap.txt                 2018-03-20
   language      fbl               fbl.txt                 2010-03-24
   language      fly               fly.txt                 2014-03-13
   language      fiu               fiu.txt                 2009-04-07
   language      fkk               fkk.txt                 2012-08-27
   language      fnb               fnb.txt                 2016-06-10
   language      frp               frp.txt                 2010-03-24
   language      frr               frr.txt                 2007-11-06
